22.01.2019 RGB-PI Database for FBA 0.2.97.44 (0.197) by @Fran_Tron

Name, H pixels, Scanlines, Frame Rate, H position, H zoom, V position, 
H Front Porch, H Sync, H Back Porch, V Sync, H Frequency, Core, Orientation.

Name          :  Name of game(zip) to launch.
H pixels      :  Horizontal resolution.
Scanlines     :  Vertical resolution of the game, number of lines of the game.
Frame Rate    :  Frame Rate of the game in Hz.

H Position    :  Horizontal Position, use this value to move screen horizontally.
H Zoom        :  Horizontal Zoom, use this value to zoom/unzoom horizontal screen.
V Position    :  Vertical Position, use this value to move screen vertically.

H Front Porch :  Horizontal Front Porch
H Sync        :  Horizontal Synchronisation
H Back Porch  :  Horizontal Back Porch
V Sync        :  Vertical  Synchronisation
H Frequency   :  Horizontal Frequency, can be tweaked to force 625 lines mode (e.g. 15840 at 55Hz)

Core          :  Libretro core to use.
Orientation   :  Game Orientation, can be HORIZONTAL(H) or VERTICAL(V).

aligatoruna 1920 240 59.100000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
alinvade 1920 128 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
alphaho 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
alpham2 1920 224 59.185606 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
alpham2p 1920 224 59.185606 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
alphamis 1920 216 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
alphaxz 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
alpine 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
alpinea 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
altbeast 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
altbeast2 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
altbeast4 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
altbeast5 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
altbeast5d 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
altbeast6 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
altbeastj 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
altbeastj1 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
altbeastj3 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
altbeastj3d 1920 224 60.054389 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
amatelas 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
amazon 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
ambush 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
ambushh 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
ambushj 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
ambushv 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
amidar 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
amidar1 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
amidarb 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
amidaro 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
amidars 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
amidaru 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
amigo 1920 224 60.606061 -4 -27 3 48 192 240 5 15734 fba_libretro.so V
amspdwy 1920 224 60.000000 -4 -27 3 48 192 240 5 15734 fba_libretro.so H
